State,Year,Outcome,MajorityVote
Alabama,2012,R,1255925
Alaska,2012,R,164676
Arizona,2012,R,1233654
Arkansas,2012,R,647744
California,2012,D,7854285
Colorado,2012,D,1323101
Connecticut,2012,D,905083
Delaware,2012,D,242584
Florida,2012,D,4237756
Georgia,2012,R,2078688
Hawaii,2012,D,306658
Idaho,2012,R,420911
Illinois,2012,D,3019512
Indiana,2012,R,1420543
Iowa,2012,D,822544
Kansas,2012,R,692634
Kentucky,2012,R,1087190
Louisiana,2012,R,1152262
Maine,2012,D,401306
Maryland,2012,D,1677844
Massachusetts,2012,D,1921290
Michigan,2012,D,2564569
Minnesota,2012,D,1546167
Mississippi,2012,R,710746
Missouri,2012,R,1482440
Montana,2012,R,267928
Nebraska,2012,R,475064
Nevada,2012,D,531373
New Hampshire,2012,D,369561
New Jersey,2012,D,2125101
New Mexico,2012,D,415335
New York,2012,D,4485741
North Carolina,2012,R,2270395
North Dakota,2012,R,188163
Ohio,2012,D,2827709
Oklahoma,2012,R,891325
Oregon,2012,D,970488
Pennsylvania,2012,D,2990274
Rhode Island,2012,D,279677
South Carolina,2012,R,1071645
South Dakota,2012,R,210610
Tennessee,2012,R,1462330
Texas,2012,R,4569843
Utah,2012,R,740600
Vermont,2012,D,199239
Virginia,2012,D,1971820
Washington,2012,D,1755396
West Virginia,2012,R,417655
Wisconsin,2012,D,1620985
Wyoming,2012,R,170962
Alabama,2016,R,1318255
Alaska,2016,R,163387
Arizona,2016,R,1252401
Arkansas,2016,R,684872
California,2016,D,8753788
Colorado,2016,D,1338870
Connecticut,2016,D,897572
Delaware,2016,D,235603
Florida,2016,R,4617886
Georgia,2016,R,2089104
Hawaii,2016,D,266891
Idaho,2016,R,409055
Illinois,2016,D,3090729
Indiana,2016,R,1557286
Iowa,2016,R,800983
Kansas,2016,R,671018
Kentucky,2016,R,1202971
Louisiana,2016,R,1178638
Maine,2016,D,357735
Maryland,2016,D,1677928
Massachusetts,2016,D,1995196
Michigan,2016,R,2279543
Minnesota,2016,D,1367716
Mississippi,2016,R,700714
Missouri,2016,R,1594511
Montana,2016,R,279240
Nebraska,2016,R,199657
Nevada,2016,D,539260
New Hampshire,2016,D,348526
New Jersey,2016,D,2148278
New Mexico,2016,D,385234
New York,2016,D,4556124
North Carolina,2016,R,2362631
North Dakota,2016,R,216794
Ohio,2016,R,2841005
Oklahoma,2016,R,949136
Oregon,2016,D,1002106
Pennsylvania,2016,D,2926441
Rhode Island,2016,D,252525
South Carolina,2016,R,1155389
South Dakota,2016,R,227721
Tennessee,2016,R,1522925
Texas,2016,R,4685047
Utah,2016,R,515231
Vermont,2016,D,178573
Virginia,2016,D,1981473
Washington,2016,D,1742718
West Virginia,2016,R,489371
Wisconsin,2016,R,1405284
Wyoming,2016,R,174419
