State,Year,Outcome,MajorityVote
Alabama,1980,R,654192
Alaska,1980,R,86112
Arizona,1980,R,529688
Arkansas,1980,R,403164
California,1980,R,4524858
Colorado,1980,R,652264
Connecticut,1980,R,677210
Delaware,1980,R,111252
Florida,1980,R,2046951
Georgia,1980,D,890733
Hawaii,1980,D,135879
Idaho,1980,R,290699
Illinois,1980,R,2358049
Indiana,1980,R,1255656
Iowa,1980,R,676026
Kansas,1980,R,566812
Kentucky,1980,R,635274
Louisiana,1980,R,792853
Maine,1980,R,238522
Maryland,1980,D,726161
Massachusetts,1980,R,1057631
Michigan,1980,R,1915225
Minnesota,1980,D,954174
Mississippi,1980,R,441089
Missouri,1980,R,1074181
Montana,1980,R,206814
Nebraska,1980,R,419937
Nevada,1980,R,155017
New Hampshire,1980,R,221705
New Jersey,1980,R,1546557
New Mexico,1980,R,250779
New York,1980,R,2893831
North Carolina,1980,R,915018
North Dakota,1980,R,193695
Ohio,1980,R,2206545
Oklahoma,1980,R,695570
Oregon,1980,R,571044
Pennsylvania,1980,R,2261872
Rhode Island,1980,D,198342
South Carolina,1980,R,441841
South Dakota,1980,R,198343
Tennessee,1980,R,787761
Texas,1980,R,2510705
Utah,1980,R,439687
Vermont,1980,R,94628
Virginia,1980,R,989609
Washington,1980,R,865244
West Virginia,1980,D,367462
Wisconsin,1980,R,1088845
Wyoming,1980,R,110700
Alabama,1984,R,872849
Alaska,1984,R,138377
Arizona,1984,R,681416
Arkansas,1984,R,534774
California,1984,R,5467009
Colorado,1984,R,821817
Connecticut,1984,R,890877
Delaware,1984,R,152190
Florida,1984,R,2730350
Georgia,1984,R,1068722
Hawaii,1984,R,185050
Idaho,1984,R,297523
Illinois,1984,R,2707103
Indiana,1984,R,1377230
Iowa,1984,R,703088
Kansas,1984,R,677296
Kentucky,1984,R,821702
Louisiana,1984,R,1037299
Maine,1984,R,336500
Maryland,1984,R,879918
Massachusetts,1984,R,1310936
Michigan,1984,R,2251571
Minnesota,1984,D,1036364
Mississippi,1984,R,582377
Missouri,1984,R,1274188
Montana,1984,R,232450
Nebraska,1984,R,460054
Nevada,1984,R,188770
New Hampshire,1984,R,267050
New Jersey,1984,R,1933630
New Mexico,1984,R,307101
New York,1984,R,3664763
North Carolina,1984,R,1346481
North Dakota,1984,R,200336
Ohio,1984,R,2678560
Oklahoma,1984,R,861530
Oregon,1984,R,685700
Pennsylvania,1984,R,2584323
Rhode Island,1984,R,212080
South Carolina,1984,R,615539
South Dakota,1984,R,200267
Tennessee,1984,R,990212
Texas,1984,R,3433428
Utah,1984,R,469105
Vermont,1984,R,135865
Virginia,1984,R,1337078
Washington,1984,R,1051670
West Virginia,1984,R,405483
Wisconsin,1984,R,1198584
Wyoming,1984,R,133241
Alabama,1988,R,815576
Alaska,1988,R,119251
Arizona,1988,R,702541
Arkansas,1988,R,466578
California,1988,R,5054917
Colorado,1988,R,728155
Connecticut,1988,R,750241
Delaware,1988,R,139689
Florida,1988,R,2618885
Georgia,1988,R,1081331
Hawaii,1988,D,192364
Idaho,1988,R,253881
Illinois,1988,R,2310939
Indiana,1988,R,1297763
Iowa,1988,D,670557
Kansas,1988,R,549049
Kentucky,1988,R,734281
Louisiana,1988,R,883702
Maine,1988,R,307131
Maryland,1988,R,876167
Massachusetts,1988,D,1401415
Michigan,1988,R,1965485
Minnesota,1988,D,1109471
Mississippi,1988,R,557921
Missouri,1988,R,1084953
Montana,1988,R,190412
Nebraska,1988,R,397956
Nevada,1988,R,206040
New Hampshire,1988,R,281537
New Jersey,1988,R,1743192
New Mexico,1988,R,270341
New York,1988,D,3347882
North Carolina,1988,R,1237258
North Dakota,1988,R,166559
Ohio,1988,R,2416549
Oklahoma,1988,R,678367
Oregon,1988,D,616206
Pennsylvania,1988,R,2300087
Rhode Island,1988,D,225123
South Carolina,1988,R,606443
South Dakota,1988,R,165415
Tennessee,1988,R,947233
Texas,1988,R,3036829
Utah,1988,R,428442
Vermont,1988,R,124331
Virginia,1988,R,1309162
Washington,1988,D,933516
West Virginia,1988,D,341016
Wisconsin,1988,D,1126794
Wyoming,1988,R,106867
Alabama,1992,R,804283
Alaska,1992,R,102000
Arizona,1992,R,572086
Arkansas,1992,D,505823
California,1992,D,121249
Colorado,1992,D,629681
Connecticut,1992,D,682318
Delaware,1992,D,126054
Florida,1992,R,2171781
Georgia,1992,D,1008966
Hawaii,1992,D,179310
Idaho,1992,R,202645
Illinois,1992,D,2453350
Indiana,1992,R,939375
Iowa,1992,D,586353
Kansas,1992,R,449469
