

01000 Alabama           3444354   3497000   3540000   3581000   3628000
01000 Alabama           3680000   3737000   3783000   3834000   3869000

02000 Alaska             302583    316000    326000    333000    345000
02000 Alaska             371000    393000    397000    402000    403000

04000 Arizona           1775399   1896000   2009000   2125000   2224000
04000 Arizona           2286000   2348000   2427000   2518000   2639000

05000 Arkansas          1923322   1972000   2018000   2058000   2100000
05000 Arkansas          2158000   2169000   2207000   2241000   2269000

06000 California       19971071  20346000  20585000  20868000  21173000
06000 California       21537000  21934000  22350000  22839000  23255000

08000 Colorado          2209596   2303000   2405000   2496000   2541000
08000 Colorado          2586000   2632000   2696000   2767000   2849000

09000 Connecticut       3032217   3061000   3070000   3069000   3076000
09000 Connecticut       3085000   3086000   3089000   3095000   3100000

10000 Delaware           548104    565000    574000    579000    583000
10000 Delaware           589000    593000    595000    598000    599000

12000 Florida           6791418   7163000   7520000   7927000   8317000
12000 Florida           8542000   8695000   8889000   9132000   9471000

13000 Georgia           4587930   4710000   4807000   4907000   4995000
13000 Georgia           5058000   5126000   5212000   5286000   5391000

15000 Hawaii             769913    801000    828000    851000    867000
15000 Hawaii             884000    902000    916000    929000    950000

16000 Idaho              713015    739000    763000    782000    808000
16000 Idaho              832000    857000    883000    911000    933000

17000 Illinois         11110288  11206000  11258000  11260000  11274000
17000 Illinois         11306000  11360000  11406000  11434000  11423000

18000 Indiana           5195392   5250000   5296000   5329000   5350000
18000 Indiana           5351000   5372000   5405000   5446000   5475000

19000 Iowa              2825368   2852000   2860000   2864000   2868000
19000 Iowa              2881000   2904000   2914000   2919000   2917000

20000 Kansas            2249071   2246000   2255000   2264000   2268000
20000 Kansas            2279000   2299000   2318000   2333000   2347000

21000 Kentucky          3220711   3298000   3336000   3372000   3417000
21000 Kentucky          3469000   3530000   3575000   3611000   3644000

22000 Louisiana         3644637   3711000   3762000   3789000   3821000
22000 Louisiana         3887000   3952000   4016000   4073000   4139000

23000 Maine              993722   1016000   1035000   1046000   1060000
23000 Maine             1073000   1090000   1105000   1115000   1125000

24000 Maryland          3923897   4022000   4081000   4109000   4133000
24000 Maryland          4157000   4172000   4195000   4212000   4223000

25000 Massachusetts     5689170   5739000   5762000   5784000   5777000
25000 Massachusetts     5762000   5749000   5744000   5743000   5746000

26000 Michigan          8881826   8972000   9025000   9072000   9109000
26000 Michigan          9108000   9117000   9157000   9202000   9249000

27000 Minnesota         3806103   3852000   3867000   3885000   3898000
27000 Minnesota         3926000   3957000   3980000   4005000   4038000

28000 Mississippi       2216994   2265000   2307000   2350000   2379000
28000 Mississippi       2400000   2430000   2460000   2488000   2508000

29000 Missouri          4677623   4723000   4753000   4775000   4785000
29000 Missouri          4795000   4823000   4845000   4871000   4889000

30000 Montana            694409    711000    719000    727000    737000
30000 Montana            749000    758000    771000    784000    789000

31000 Nebraska          1485333   1504000   1518000   1528000   1538000
31000 Nebraska          1541000   1549000   1554000   1561000   1564000

32000 Nevada             488738    520000    547000    569000    597000
32000 Nevada             620000    647000    678000    719000    765000

33000 New Hampshire      737681    762000    782000    802000    817000
33000 New Hampshire      830000    847000    872000    894000    912000

34000 New Jersey        7171112   7282000   7337000   7335000   7335000
34000 New Jersey        7341000   7344000   7342000   7356000   7373000

35000 New Mexico        1017055   1053000   1078000   1104000   1130000
35000 New Mexico        1163000   1195000   1225000   1252000   1281000

