StateYear,State,Year,Population,Alignment,Outcome,"Total domestic water use per capita, gallons/person/day","Residential co2 emissions, million metric tons","Residential co2 emissions, million metric tons/person","Residential co2 emissions, metric tons/person"
Alabama1970,Alabama,1970,3444354,,,,,,
Alabama1971,Alabama,1971,3497000,,,,,,
Alabama1972,Alabama,1972,3540000,,,,,,
Alabama1973,Alabama,1973,3581000,,,,,,
Alabama1974,Alabama,1974,3628000,,,,,,
Alabama1975,Alabama,1975,3680000,,,,,,
Alabama1976,Alabama,1976,3737000,,,,,,
Alabama1977,Alabama,1977,3783000,,,,,,
Alabama1978,Alabama,1978,3834000,,,,,,
Alabama1979,Alabama,1979,3869000,,,,,,
Alabama1980,Alabama,1980,3893888,0.168004832,R,,3.6,9.25E-07,0.924525821
Alabama1981,Alabama,1981,3918531,0.168004832,R,,3.4,8.68E-07,0.867672094
Alabama1982,Alabama,1982,3925266,0.168004832,R,,3.4,8.66E-07,0.866183336
Alabama1983,Alabama,1983,3934102,0.168004832,R,,3.5,8.90E-07,0.889656648
Alabama1984,Alabama,1984,3951820,0.220872661,R,,3.3,8.35E-07,0.835058277
Alabama1985,Alabama,1985,3972523,0.220872661,R,,2.9,7.30E-07,0.730014653
Alabama1986,Alabama,1986,3991569,0.220872661,R,,3,7.52E-07,0.751584151
Alabama1987,Alabama,1987,4015264,0.220872661,R,,3.4,8.47E-07,0.846768731
Alabama1988,Alabama,1988,4023844,0.20268579,R,,3.4,8.45E-07,0.844963175
Alabama1989,Alabama,1989,4030222,0.20268579,R,,3.3,8.19E-07,0.818813455
Alabama1990,Alabama,1990,4050055,0.20268579,R,175,3.1,7.65E-07,0.765421704
Alabama1991,Alabama,1991,4099156,0.20268579,R,,3,7.32E-07,0.731857973
Alabama1992,Alabama,1992,4154014,0.193615862,R,,3.2,7.70E-07,0.770339243
Alabama1993,Alabama,1993,4214202,0.193615862,R,,3.4,8.07E-07,0.806795688
Alabama1994,Alabama,1994,4260229,0.193615862,R,,3.3,7.75E-07,0.774606248
Alabama1995,Alabama,1995,4296800,0.193615862,R,187,3.3,7.68E-07,0.768013405
Alabama1996,Alabama,1996,4331102,0.172945361,R,,3.7,8.54E-07,0.854286045
Alabama1997,Alabama,1997,4367935,0.172945361,R,,3.4,7.78E-07,0.778399862
Alabama1998,Alabama,1998,4404701,0.172945361,R,,3.1,7.04E-07,0.703793515
Alabama1999,Alabama,1999,4430141,0.172945361,R,,3.3,7.45E-07,0.744897284
Alabama2000,Alabama,2000,4452173,0.211396323,R,75,3.7,8.31E-07,0.831054858
Alabama2001,Alabama,2001,4467634,0.211396323,R,,3.5,7.83E-07,0.783412428
Alabama2002,Alabama,2002,4480089,0.211396323,R,,3.2,7.14E-07,0.714271525
Alabama2003,Alabama,2003,4503491,0.211396323,R,,3.1,6.88E-07,0.688354878
Alabama2004,Alabama,2004,4530729,-0.25964784,D,,3,6.62E-07,0.662145099
Alabama2005,Alabama,2005,4569805,-0.25964784,D,156,2.7,5.91E-07,0.590834839
Alabama2006,Alabama,2006,4628981,-0.25964784,D,,2.5,5.40E-07,0.540075667
