StateYear,Residential CO2 emissions per capita,Total domestic water use per capita,Total energy consumption per capita,Renewable energy consumption per capita,Petroleum product consumption per capita,Outcome,Average ranking
Hawaii1980,1.0,50.0,29.0,24.0,2.0,D,21.0
Florida1980,2.0,46.0,28.0,18.0,7.0,R,20.0
Arizona1980,3.0,1.0,26.0,40.0,3.0,R,15.0
Tennessee1980,4.0,13.0,48.0,48.0,8.0,R,24.0
Idaho1980,5.0,49.0,9.0,34.0,16.0,R,23.0
Oregon1980,6.0,40.5,24.0,46.0,17.0,R,27.0
Washington1980,7.0,44.0,50.0,50.0,19.0,R,34.0
South Carolina1980,8.0,15.5,41.0,44.0,27.0,R,27.0
Mississippi1980,9.0,7.0,13.0,14.0,15.0,R,12.0
Alabama1980,10.0,27.0,34.0,43.0,11.0,R,25.0
Texas1980,11.0,42.0,45.0,19.0,6.0,R,25.0
Louisiana1980,12.0,37.5,39.0,21.0,4.0,R,23.0
Georgia1980,13.0,30.5,31.0,31.0,14.0,D,24.0
North Carolina1980,14.0,17.0,44.0,47.0,33.0,R,31.0
Nevada1980,15.0,48.0,16.0,22.0,12.0,R,23.0
California1980,16.0,34.0,25.0,30.0,1.0,R,21.0
Arkansas1980,17.0,29.0,32.0,33.0,18.0,R,26.0
Virginia1980,18.0,18.0,40.0,41.0,32.0,R,30.0
New Mexico1980,19.0,45.0,6.0,2.0,21.0,R,19.0
Oklahoma1980,20.0,4.0,8.0,5.0,9.0,R,9.0
Wyoming1980,21.0,43.0,19.0,16.0,24.0,R,25.0
Kentucky1980,22.0,5.0,35.0,27.0,28.0,R,23.0
Colorado1980,23.0,39.0,27.0,17.0,10.0,R,23.0
South Dakota1980,24.0,35.0,5.0,25.0,41.0,R,26.0
Montana1980,25.0,37.5,12.0,35.0,30.0,R,28.0
West Virginia1980,26.0,2.0,15.0,10.0,22.0,D,15.0
North Dakota1980,27.0,21.5,3.0,6.0,39.0,R,19.0
Delaware1980,28.0,24.0,33.0,8.0,43.0,R,27.0
Maryland1980,29.0,28.0,17.0,15.0,38.0,D,25.0
Missouri1980,30.0,12.0,23.0,13.0,26.0,R,21.0
Nebraska1980,31.0,33.0,38.0,32.0,25.0,R,32.0
New York1980,32.0,32.0,49.0,49.0,36.0,R,40.0
Kansas1980,33.0,25.0,14.0,4.0,20.0,R,19.0
Minnesota1980,34.0,40.5,10.0,11.0,34.0,D,26.0
New Hampshire1980,35.0,19.0,11.0,26.0,48.0,R,28.0
Indiana1980,36.0,30.5,18.0,9.0,31.0,R,25.0
Ohio1980,37.0,9.0,20.0,12.0,23.0,R,20.0
Alaska1980,38.0,8.0,37.0,28.0,42.0,R,31.0
Iowa1980,39.0,36.0,36.0,37.0,35.0,R,37.0
Wisconsin1980,40.0,3.0,30.0,38.0,37.0,R,30.0
Rhode Island1980,41.0,10.0,1.0,1.0,45.0,D,20.0
Vermont1980,42.0,21.5,2.0,7.0,49.0,R,24.0
New Jersey1980,43.0,15.5,43.0,36.0,44.0,R,36.0
Illinois1980,44.0,21.5,47.0,42.0,13.0,R,34.0
Utah1980,45.0,47.0,4.0,3.0,5.0,R,21.0
Connecticut1980,46.0,11.0,21.0,20.0,47.0,R,29.0
Pennsylvania1980,47.0,6.0,42.0,39.0,40.0,R,35.0
Massachusetts1980,48.0,14.0,22.0,23.0,46.0,R,31.0
Maine1980,49.0,26.0,7.0,29.0,50.0,R,32.0
Michigan1980,50.0,21.5,46.0,45.0,29.0,R,38.0
Hawaii1981,1.0,50.0,26.0,24.0,2.0,D,21.0
Florida1981,2.0,46.0,29.0,17.0,6.0,R,20.0
Arizona1981,3.0,1.0,28.0,35.0,3.0,R,14.0
Tennessee1981,4.0,13.0,49.0,48.0,8.0,R,24.0
South Carolina1981,5.0,15.5,41.0,42.0,25.0,R,26.0
