StateYear,State,Year,Total energy consumption ranking,Renewable energy consumption ranking,Petroleum product consumption ranking,"Residential co2 emissions, metric tons/person","Total domestic water use per capita, gallons/person/day",Outcome,Average ranking
Alaska1980,Alaska,1980,37.0,28.0,42.0,38.0,15.0,R,32.0
Alaska1981,Alaska,1981,37.0,28.0,39.0,43.0,15.0,R,32.4
Alaska1982,Alaska,1982,39.0,26.0,42.0,50.0,15.0,R,34.4
Alaska1983,Alaska,1983,40.0,26.0,43.0,50.0,15.0,R,34.8
Alaska1984,Alaska,1984,40.0,27.0,43.0,50.0,15.0,R,35.0
Alaska1985,Alaska,1985,40.0,27.0,42.0,48.0,12.5,R,33.9
Alaska1986,Alaska,1986,40.0,24.0,38.0,45.0,12.5,R,31.9
Alaska1987,Alaska,1987,39.0,29.0,41.0,45.0,12.5,R,33.3
Alaska1988,Alaska,1988,39.0,30.0,39.0,39.0,12.5,R,31.9
Alaska1989,Alaska,1989,40.0,35.0,42.0,43.0,12.5,R,34.5
Alaska1990,Alaska,1990,41.0,36.0,43.0,50.0,4.0,R,34.8
Alaska1991,Alaska,1991,43.0,36.0,44.0,50.0,4.0,R,35.4
Alaska1992,Alaska,1992,43.0,36.0,44.0,50.0,4.0,R,35.4
Alaska1993,Alaska,1993,42.0,36.0,44.0,50.0,4.0,R,35.2
Alaska1994,Alaska,1994,41.0,37.0,44.0,50.0,4.0,R,35.2
Alaska1995,Alaska,1995,43.0,35.0,45.0,49.0,9.0,R,36.2
Alaska1996,Alaska,1996,44.0,34.0,45.0,49.0,9.0,R,36.2
Alaska1997,Alaska,1997,44.0,29.0,43.0,49.0,9.0,R,34.8
Alaska1998,Alaska,1998,44.0,26.0,44.0,49.0,9.0,R,34.4
Alaska1999,Alaska,1999,44.0,23.0,46.0,49.0,9.0,R,34.2
Alaska2000,Alaska,2000,45.0,26.0,43.0,49.0,2.0,R,33.0
Alaska2001,Alaska,2001,45.0,33.0,43.0,49.0,2.0,R,34.4
Alaska2002,Alaska,2002,44.0,32.0,43.0,49.0,2.0,R,34.0
Alaska2003,Alaska,2003,45.0,33.0,43.0,48.0,2.0,R,34.2
Alaska2004,Alaska,2004,45.0,32.0,43.0,47.0,2.0,D,33.8
Alaska2005,Alaska,2005,45.0,29.0,43.0,49.0,22.5,D,37.7
Alaska2006,Alaska,2006,45.0,24.0,46.0,50.0,22.5,D,37.5
Alaska2007,Alaska,2007,45.0,28.0,43.0,49.0,22.5,D,37.5
Alaska2008,Alaska,2008,44.0,25.0,40.0,50.0,22.5,D,36.3
Alaska2009,Alaska,2009,45.0,27.0,42.0,50.0,22.5,D,37.3
Alaska2010,Alaska,2010,46.0,25.0,43.0,50.0,27.0,D,38.2
Alaska2011,Alaska,2011,47.0,21.0,42.0,50.0,27.0,D,37.4
Alaska2012,Alaska,2012,47.0,25.0,44.0,50.0,27.0,R,38.6
Alaska2013,Alaska,2013,46.0,25.0,43.0,50.0,27.0,R,38.2
Alaska2014,Alaska,2014,46.0,25.0,42.0,45.0,27.0,R,37.0
Alabama1980,Alabama,1980,34.0,43.0,11.0,10.0,,R,
Alabama1981,Alabama,1981,35.0,43.0,12.0,10.0,,R,
Alabama1982,Alabama,1982,34.0,42.0,13.0,11.0,,R,
Alabama1983,Alabama,1983,35.0,42.0,13.0,12.0,,R,
Alabama1984,Alabama,1984,34.0,42.0,10.0,10.0,,R,
Alabama1985,Alabama,1985,33.0,42.0,9.0,7.0,,R,
Alabama1986,Alabama,1986,33.0,41.0,12.0,11.0,,R,
Alabama1987,Alabama,1987,33.0,42.0,14.0,12.0,,R,
Alabama1988,Alabama,1988,33.0,42.0,14.0,12.0,,R,
Alabama1989,Alabama,1989,33.0,42.0,14.0,11.0,,R,
Alabama1990,Alabama,1990,31.0,41.0,14.0,11.0,29.0,R,25.2
Alabama1991,Alabama,1991,33.0,42.0,11.0,7.0,29.0,R,24.4
Alabama1992,Alabama,1992,33.0,42.0,11.0,12.0,29.0,R,25.4
Alabama1993,Alabama,1993,33.0,42.0,15.0,11.0,29.0,R,26.0
Alabama1994,Alabama,1994,32.0,42.0,16.0,10.0,29.0,R,25.8
Alabama1995,Alabama,1995,33.0,41.0,16.0,10.0,33.0,R,26.6
Alabama1996,Alabama,1996,33.0,42.0,16.0,12.0,33.0,R,27.2
Alabama1997,Alabama,1997,32.0,42.0,18.0,9.0,33.0,R,26.8
Alabama1998,Alabama,1998,34.0,42.0,17.0,8.0,33.0,R,26.8
Alabama1999,Alabama,1999,34.0,42.0,21.0,8.0,33.0,R,27.6
Alabama2000,Alabama,2000,35.0,42.0,21.0,9.0,17.5,R,24.9
Alabama2001,Alabama,2001,32.0,42.0,20.0,8.0,17.5,R,23.9
Alabama2002,Alabama,2002,31.0,41.0,16.0,7.0,17.5,R,22.5
Alabama2003,Alabama,2003,31.0,42.0,12.0,7.0,17.5,R,21.9
Alabama2004,Alabama,2004,34.0,42.0,14.0,8.0,17.5,D,23.1
Alabama2005,Alabama,2005,32.0,42.0,11.0,7.0,19.0,D,22.2
Alabama2006,Alabama,2006,33.0,42.0,11.0,7.0,19.0,D,22.4
Alabama2007,Alabama,2007,28.0,41.0,12.0,6.0,19.0,D,21.2
Alabama2008,Alabama,2008,28.0,38.0,13.0,7.0,19.0,D,21.0
