,State,Year,"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d","Domestic self-supplied groundwater withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, groundwater, in Mgal/d","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d","Domestic self-supplied surface-water withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, surface water, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Domestic total self-supplied withdrawals, saline, in Mgal/d","Domestic per capita use, public-supplied, in gallons/person/day","Domestic total self-supplied withdrawals, in Mgal/d","Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic consumptive use, fresh, in Mgal/d","Domestic consumptive use, saline, in Mgal/d","Domestic total consumptive use, in Mgal/d","Domestic per capita use, self-supplied, in gallons/person/day","Total domestic water use per capita, gallons/person/day"
0,Alabama,1990,27.74,0.00,0.00,0.00,0.00,0.00,27.74,369.480,368.470,0.00,100.0,0.00,396.21,53.09,0.00,0.00,75.0,175.0
1,Alabama,1995,61.90,0.00,61.90,0.00,0.00,0.00,61.90,826.070,383.310,0.00,112.0,61.90,445.21,88.75,0.00,88.75,75.0,187.0
2,Alabama,2000,65.06,0.00,0.00,0.00,0.00,0.00,65.06,867.570,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
3,Alabama,2005,39.12,0.00,0.00,0.00,0.00,0.00,39.12,521.338,325.940,0.00,81.0,0.00,365.06,0.00,0.00,0.00,75.0,156.0
4,Alabama,2010,37.97,0.00,0.00,0.00,0.00,0.00,37.97,539.394,326.690,0.00,77.0,0.00,364.66,0.00,0.00,0.00,70.0,147.0
5,Alaska,1990,6.21,0.00,0.00,0.69,0.00,0.00,6.90,173.910,29.590,0.00,79.0,0.00,36.49,3.67,0.00,0.00,40.0,119.0
6,Alaska,1995,8.28,0.00,8.28,0.33,0.00,0.33,8.61,222.980,37.520,0.00,99.0,8.61,46.13,4.54,0.00,4.54,39.0,138.0
7,Alaska,2000,10.93,0.00,0.00,0.25,0.00,0.00,11.18,205.770,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,54.0,54.0
8,Alaska,2005,13.38,0.00,0.00,0.68,0.00,0.00,14.06,234.758,46.830,0.00,109.0,0.00,60.89,0.00,0.00,0.00,60.0,169.0
9,Alaska,2010,14.14,0.00,0.00,0.66,0.00,0.00,14.80,260.434,49.180,0.00,109.0,0.00,63.98,0.00,0.00,0.00,57.0,166.0
10,Arizona,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.0
11,Arizona,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.0
12,Arizona,1995,39.32,0.00,39.32,0.02,0.00,0.02,39.34,300.910,525.850,0.00,134.0,39.34,565.19,282.56,0.00,282.56,131.0,265.0
13,Arizona,2000,28.81,0.00,0.00,0.00,0.00,0.00,28.81,264.658,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,109.0,109.0
14,Arizona,2005,27.16,0.00,0.00,0.00,0.00,0.00,27.16,218.090,887.740,0.00,155.0,0.00,914.90,0.00,0.00,0.00,125.0,280.0
15,Arizona,2010,27.18,0.00,0.00,0.00,0.00,0.00,27.18,218.170,912.010,0.00,148.0,0.00,939.19,0.00,0.00,0.00,125.0,273.0
16,Arkansas,1985,60.42,0.00,0.00,0.00,0.00,0.00,60.42,678.450,169.550,0.00,101.0,0.00,229.97,60.42,0.00,0.00,89.0,190.0
17,Arkansas,1990,50.61,0.00,0.00,0.00,0.00,0.00,50.61,572.870,188.460,0.00,106.0,0.00,239.07,50.61,0.00,0.00,88.0,194.0
18,Arkansas,1995,37.61,0.00,37.61,0.00,0.00,0.00,37.61,488.130,162.540,0.00,81.0,37.61,200.15,91.44,0.00,91.44,77.0,158.0
19,Arkansas,2000,28.46,0.00,0.00,0.00,0.00,0.00,28.46,350.930,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,81.0,81.0
20,Arkansas,2005,17.83,0.00,0.00,0.00,0.00,0.00,17.83,199.926,254.140,0.00,99.0,0.00,271.97,0.00,0.00,0.00,89.0,188.0
21,Arkansas,2010,12.84,0.00,0.00,0.00,0.00,0.00,12.84,144.434,295.420,0.00,107.0,0.00,308.26,0.00,0.00,0.00,89.0,196.0
22,California,1985,125.26,0.00,0.00,15.14,0.00,0.00,140.40,2008.500,3238.470,0.00,133.0,0.00,3378.87,878.50,0.00,0.00,70.0,203.0
23,California,1990,212.02,0.00,0.00,105.81,0.00,0.00,317.83,4283.250,3740.300,0.00,147.0,0.00,4058.13,1032.85,0.00,0.00,74.0,221.0
24,California,1995,107.77,0.00,107.77,11.97,0.00,11.97,119.74,1596.460,3711.230,0.00,122.0,119.74,3830.97,1060.91,0.00,1060.91,75.0,197.0
25,California,2000,257.09,0.00,0.00,28.56,0.00,0.00,285.65,3812.470,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,75.0,75.0
26,California,2005,428.59,0.00,0.00,57.16,0.00,0.00,485.75,2707.216,3983.750,0.00,119.0,0.00,4469.50,0.00,0.00,0.00,179.0,298.0
27,California,2010,142.47,0.00,0.00,29.45,0.00,0.00,171.92,2476.047,3865.640,0.00,111.0,0.00,4037.56,0.00,0.00,0.00,69.0,180.0
28,Colorado,1985,16.70,0.00,0.00,0.00,0.00,0.00,16.70,221.730,456.220,0.00,152.0,0.00,472.92,144.75,0.00,0.00,75.0,227.0
29,Colorado,1990,18.86,0.00,0.00,0.00,0.00,0.00,18.86,248.350,440.800,0.00,145.0,0.00,459.66,139.17,0.00,0.00,76.0,221.0
