State,Year,Population,MSN,Reading,Per capita consumption
AK,1970,302583,TETCB,182043.0,0.6016299659928019
AK,1971,316000,TETCB,200968.0,0.6359746835443038
AK,1972,326000,TETCB,214384.0,0.6576196319018405
AK,1973,333000,TETCB,196970.0,0.5915015015015015
AK,1974,345000,TETCB,201495.0,0.5840434782608696
AK,1975,371000,TETCB,232186.0,0.6258382749326146
AK,1976,393000,TETCB,254674.0,0.6480254452926208
AK,1977,397000,TETCB,293532.0,0.7393753148614609
AK,1978,402000,TETCB,324057.0,0.8061119402985074
AK,1979,403000,TETCB,299782.0,0.7438759305210918
AK,1980,401851,TETCB,295757.0,0.7359867214465063
AK,1981,418491,TETCB,279672.0,0.668286773192255
AK,1982,449606,TETCB,409072.0,0.909845509179148
AK,1983,488417,TETCB,437637.0,0.8960314649162499
AK,1984,513702,TETCB,482898.0,0.9400352733686067
AK,1985,532495,TETCB,474439.0,0.8909736241654851
AK,1986,544268,TETCB,504260.0,0.9264920958057428
AK,1987,539309,TETCB,499218.0,0.9256622826617023
AK,1988,541983,TETCB,521404.0,0.9620301743781632
AK,1989,547159,TETCB,576194.0,1.053065014008725
AK,1990,553290,TETCB,584083.0,1.0556543584738565
AK,1991,570193,TETCB,602660.0,1.0569403693135482
AK,1992,588736,TETCB,627237.0,1.0653960348950973
AK,1993,599432,TETCB,623702.0,1.0404883289514073
AK,1994,603308,TETCB,623159.0,1.0329035915320202
AK,1995,604412,TETCB,704170.0,1.1650496681071851
AK,1996,608569,TETCB,718796.0,1.1811249012026575
AK,1997,612968,TETCB,708823.0,1.1563784732645097
AK,1998,619932,TETCB,723309.0,1.1667553860746018
AK,1999,624779,TETCB,725402.0,1.1610537486055068
AK,2000,627963,TETCB,742138.0,1.1818180370499536
AK,2001,633714,TETCB,735820.0,1.1611231565027758
AK,2002,642337,TETCB,732973.0,1.1411035017444113
AK,2003,648414,TETCB,733500.0,1.1312217194570136
AK,2004,659286,TETCB,775038.0,1.175571754898481
AK,2005,666946,TETCB,797700.0,1.1960488555295332
AK,2006,675302,TETCB,746316.0,1.1051588770653722
AK,2007,680300,TETCB,723069.0,1.0628678524180508
AK,2008,687455,TETCB,650420.0,0.9461273828832433
AK,2009,698895,TETCB,639694.0,0.9152934274819536
AK,2010,714031,TETCB,653206.0,0.9148146228945242
AK,2011,722713,TETCB,653605.0,0.9043769795202244
AK,2012,731089,TETCB,649296.0,0.8881216924341633
AK,2013,736879,TETCB,616782.0,0.8370193749584396
AK,2014,736705,TETCB,603746.0,0.8195220610692204
AK,2015,737709,TETCB,619891.0,0.8402920392729383
AL,1970,741894,TETCB,1393617.0,1.8784583781510567
AL,1971,3444354,TETCB,1385063.0,0.40212562355669595
AL,1972,3497000,TETCB,1478196.0,0.4227040320274521
AL,1973,3540000,TETCB,1527391.0,0.431466384180791
AL,1974,3581000,TETCB,1547838.0,0.43223624685841944
AL,1975,3628000,TETCB,1515313.0,0.4176717199558986
AL,1976,3680000,TETCB,1551983.0,0.4217345108695652
AL,1977,3737000,TETCB,1623676.0,0.43448648648648647
AL,1978,3783000,TETCB,1638624.0,0.4331546391752577
AL,1979,3834000,TETCB,1649050.0,0.43011215440792905
AL,1980,3869000,TETCB,1645058.0,0.4251894546394417
AL,1981,3893888,TETCB,1604167.0,0.41197050351730713
AL,1982,3918531,TETCB,1499225.0,0.38259873406641415
AL,1983,3925266,TETCB,1446066.0,0.3683994919070453
AL,1984,3934102,TETCB,1544689.0,0.3926408110415032
AL,1985,3951820,TETCB,1519791.0,0.3845800162962888
AL,1986,3972523,TETCB,1504837.0,0.3788114002108987
AL,1987,3991569,TETCB,1582744.0,0.39652176875809986
AL,1988,4015264,TETCB,1651823.0,0.4113859014002566
AL,1989,4023844,TETCB,1683262.0,0.4183218832539234
AL,1990,4030222,TETCB,1665541.0,0.41326284259279017
AL,1991,4050055,TETCB,1682947.0,0.4155368260431031
AL,1992,4099156,TETCB,1753453.0,0.4277595192766511
AL,1993,4154014,TETCB,1806214.0,0.43481172668171075
AL,1994,4214202,TETCB,1898424.0,0.4504824400918608
AL,1995,4260229,TETCB,1972483.0,0.4629992894748146
AL,1996,4296800,TETCB,2005024.0,0.4666319121206479
AL,1997,4331102,TETCB,1972619.0,0.45545429315679936
AL,1998,4367935,TETCB,2018514.0,0.4621208877879364
AL,1999,4404701,TETCB,2061513.0,0.46802563897072696
AL,2000,4430141,TETCB,2111717.0,0.4766703813716087
AL,2001,4452173,TETCB,1918038.0,0.43080940475583496
AL,2002,4467634,TETCB,1978855.0,0.4429313144272785
AL,2003,4480089,TETCB,1970215.0,0.43977139739857846
AL,2004,4503491,TETCB,2083465.0,0.4626333215720871
AL,2005,4530729,TETCB,2064982.0,0.45577256993300636
AL,2006,4569805,TETCB,2102503.0,0.46008593364487105
AL,2007,4628981,TETCB,2086251.0,0.45069335994250137
AL,2008,4672840,TETCB,2003763.0,0.428810530640895
AL,2009,4718206,TETCB,1800938.0,0.3816997392653055
AL,2010,4757938,TETCB,1931458.0,0.4059443397539018
AL,2011,4785492,TETCB,1905096.0,0.39809825196656895
AL,2012,4799918,TETCB,1879577.0,0.3915852312477005
AL,2013,4815960,TETCB,1919299.0,0.39852884990739124
AL,2014,4829479,TETCB,1956390.0,0.4050933858496952
AL,2015,4843214,TETCB,1909559.0,0.39427516521053996
AR,1970,4853875,TETCB,709020.0,0.14607298292601273
AR,1971,4863300,TETCB,700849.0,0.14410976086196617
AR,1972,1923322,TETCB,744791.0,0.3872419698833581
AR,1973,1972000,TETCB,820242.0,0.4159442190669371
AR,1974,2018000,TETCB,798522.0,0.39569970267591675
AR,1975,2058000,TETCB,785929.0,0.38188969873663753
AR,1976,2100000,TETCB,841074.0,0.4005114285714286
AR,1977,2158000,TETCB,886514.0,0.4108035217794254
AR,1978,2169000,TETCB,887235.0,0.40905255878284924
AR,1979,2207000,TETCB,872845.0,0.3954893520616221
AR,1980,2241000,TETCB,859453.0,0.38351316376617584
AR,1981,2269000,TETCB,821962.0,0.3622573821066549
AR,1982,2286435,TETCB,792669.0,0.3466833738986676
AR,1983,2293201,TETCB,796758.0,0.3474435952190846
AR,1984,2294257,TETCB,799105.0,0.34830666311577124
AR,1985,2305761,TETCB,789635.0,0.34246177292442714
AR,1986,2319768,TETCB,759661.0,0.3274728334902456
AR,1987,2327046,TETCB,736276.0,0.316399417974548
AR,1988,2331984,TETCB,817841.0,0.35070609403838104
AR,1989,2342355,TETCB,882970.0,0.37695823220647595
AR,1990,2342656,TETCB,855915.0,0.36536094074418096
AR,1991,2346358,TETCB,845501.0,0.36034611939013567
AR,1992,2356586,TETCB,874435.0,0.3710600843762969
AR,1993,2383144,TETCB,949104.0,0.39825709231166895
AR,1994,2415984,TETCB,980005.0,0.40563389492645646
AR,1995,2456303,TETCB,1030766.0,0.4196412250443044
