State,Year,Population,MSN,Reading,Per capita consumption
AK,1970,302583,PARCP,1432,0.004732586
AK,1971,316000,PARCP,1869,0.005914557
AK,1972,326000,PARCP,1487,0.00456135
AK,1973,333000,PARCP,1817,0.005456456
AK,1974,345000,PARCP,1856,0.00537971
AK,1975,371000,PARCP,1758,0.004738544
AK,1976,393000,PARCP,2097,0.005335878
AK,1977,397000,PARCP,2337,0.00588665
AK,1978,402000,PARCP,2767,0.006883085
AK,1979,403000,PARCP,1765,0.004379653
AK,1980,401851,PARCP,1211,0.003013555
AK,1981,418491,PARCP,937,0.002238997
AK,1982,449606,PARCP,1170,0.002602278
AK,1983,488417,PARCP,1268,0.002596142
AK,1984,513702,PARCP,1505,0.002929714
AK,1985,532495,PARCP,1402,0.002632889
AK,1986,544268,PARCP,1183,0.002173562
AK,1987,539309,PARCP,1473,0.002731273
AK,1988,541983,PARCP,1311,0.002418895
AK,1989,547159,PARCP,1669,0.003050302
AK,1990,553290,PARCP,1759,0.003179165
AK,1991,570193,PARCP,1812,0.003177871
AK,1992,588736,PARCP,2044,0.003471845
AK,1993,599432,PARCP,2023,0.003374862
AK,1994,603308,PARCP,2052,0.003401248
AK,1995,604412,PARCP,2129,0.003522432
AK,1996,608569,PARCP,2057,0.00338006
AK,1997,612968,PARCP,1931,0.003150246
AK,1998,619932,PARCP,1738,0.002803533
AK,1999,624779,PARCP,2191,0.00350684
AK,2000,627963,PARCP,1870,0.002977882
AK,2001,633714,PARCP,1982,0.003127594
AK,2002,642337,PARCP,1631,0.002539166
AK,2003,648414,PARCP,1636,0.002523079
AK,2004,659286,PARCP,1797,0.002725676
AK,2005,666946,PARCP,1808,0.002710864
AK,2006,675302,PARCP,2346,0.003474001
AK,2007,680300,PARCP,1725,0.002535646
AK,2008,687455,PARCP,1581,0.002299787
AK,2009,698895,PARCP,1697,0.002428119
AK,2010,714031,PARCP,1673,0.002343036
AK,2011,722713,PARCP,1547,0.002140545
AK,2012,731089,PARCP,1496,0.002046262
AK,2013,736879,PARCP,1302,0.001766912
AK,2014,736705,PARCP,1256,0.001704889
AK,2015,737709,PARCP,1443,0.001956056
AK,2016,741894,PARCP,,
AL,1970,3444354,PARCP,4456,0.001293711
AL,1971,3497000,PARCP,4674,0.001336574
AL,1972,3540000,PARCP,5080,0.001435028
AL,1973,3581000,PARCP,4798,0.001339849
AL,1974,3628000,PARCP,3850,0.001061191
AL,1975,3680000,PARCP,3539,0.000961685
AL,1976,3737000,PARCP,4039,0.001080813
AL,1977,3783000,PARCP,4320,0.001141951
AL,1978,3834000,PARCP,3594,0.000937402
AL,1979,3869000,PARCP,2247,0.00058077
AL,1980,3893888,PARCP,2413,0.000619689
AL,1981,3918531,PARCP,2484,0.000633911
AL,1982,3925266,PARCP,2539,0.000646835
AL,1983,3934102,PARCP,2966,0.00075392
AL,1984,3951820,PARCP,1829,0.000462825
AL,1985,3972523,PARCP,1872,0.000471237
AL,1986,3991569,PARCP,2125,0.000532372
AL,1987,4015264,PARCP,2489,0.000619885
AL,1988,4023844,PARCP,2515,0.000625024
AL,1989,4030222,PARCP,2688,0.000666961
AL,1990,4050055,PARCP,2342,0.000578264
AL,1991,4099156,PARCP,2041,0.000497907
AL,1992,4154014,PARCP,1921,0.000462444
AL,1993,4214202,PARCP,2489,0.000590622
AL,1994,4260229,PARCP,2421,0.000568279
AL,1995,4296800,PARCP,2500,0.000581828
AL,1996,4331102,PARCP,2559,0.000590843
AL,1997,4367935,PARCP,2656,0.000608068
AL,1998,4404701,PARCP,2250,0.000510818
AL,1999,4430141,PARCP,4022,0.000907872
AL,2000,4452173,PARCP,4247,0.000953916
AL,2001,4467634,PARCP,3454,0.000773116
AL,2002,4480089,PARCP,2926,0.000653112
AL,2003,4503491,PARCP,2235,0.000496282
AL,2004,4530729,PARCP,2441,0.000538765
AL,2005,4569805,PARCP,1704,0.000372882
AL,2006,4628981,PARCP,1723,0.00037222
AL,2007,4672840,PARCP,1823,0.000390127
AL,2008,4718206,PARCP,1988,0.000421347
AL,2009,4757938,PARCP,2139,0.000449564
AL,2010,4785492,PARCP,2355,0.000492112
AL,2011,4799918,PARCP,1535,0.000319797
AL,2012,4815960,PARCP,1134,0.000235467
AL,2013,4829479,PARCP,1258,0.000260484
AL,2014,4843214,PARCP,1237,0.000255409
AL,2015,4853875,PARCP,1352,0.00027854
AL,2016,4863300,PARCP,,
AR,1970,1923322,PARCP,6491,0.00337489
AR,1971,1972000,PARCP,6844,0.003470588
AR,1972,2018000,PARCP,7477,0.003705154
AR,1973,2058000,PARCP,6890,0.003347911
AR,1974,2100000,PARCP,6096,0.002902857
AR,1975,2158000,PARCP,5233,0.00242493
AR,1976,2169000,PARCP,5539,0.002553711
AR,1977,2207000,PARCP,5466,0.002476665
AR,1978,2241000,PARCP,3998,0.001784025
AR,1979,2269000,PARCP,3170,0.001397091
AR,1980,2286435,PARCP,2203,0.000963509
AR,1981,2293201,PARCP,1727,0.000753096
AR,1982,2294257,PARCP,1648,0.000718315
AR,1983,2305761,PARCP,2767,0.001200038
AR,1984,2319768,PARCP,1817,0.000783268
AR,1985,2327046,PARCP,2026,0.000870632
AR,1986,2331984,PARCP,2228,0.00095541
AR,1987,2342355,PARCP,1859,0.000793646
AR,1988,2342656,PARCP,1824,0.000778603
AR,1989,2346358,PARCP,1985,0.000845992
AR,1990,2356586,PARCP,1792,0.000760422
AR,1991,2383144,PARCP,1617,0.000678515
AR,1992,2415984,PARCP,1452,0.000600997
AR,1993,2456303,PARCP,1646,0.000670113
AR,1994,2494019,PARCP,1605,0.00064354
AR,1995,2535399,PARCP,1450,0.000571902
AR,1996,2572109,PARCP,1440,0.000559852
AR,1997,2601090,PARCP,1530,0.000588215
AR,1998,2626289,PARCP,1135,0.000432169
AR,1999,2651860,PARCP,2936,0.001107147
AR,2000,2678588,PARCP,2598,0.000969914
AR,2001,2691571,PARCP,2729,0.001013906
AR,2002,2705927,PARCP,2051,0.000757966
AR,2003,2724816,PARCP,1701,0.000624262
AR,2004,2749686,PARCP,1625,0.000590977
AR,2005,2781097,PARCP,1476,0.000530726
AR,2006,2821761,PARCP,1453,0.000514927
