State,Year,Population,MSN,Reading,Per capita consumption
AK,1970,302583,RETCB,8835.0,0.02919860005353903
AK,1971,316000,RETCB,9094.0,0.028778481012658227
AK,1972,326000,RETCB,8673.0,0.026604294478527607
AK,1973,333000,RETCB,7844.0,0.023555555555555555
AK,1974,345000,RETCB,8329.0,0.024142028985507245
AK,1975,371000,RETCB,8608.0,0.023202156334231807
AK,1976,393000,RETCB,9201.0,0.023412213740458016
AK,1977,397000,RETCB,11449.0,0.028838790931989926
AK,1978,402000,RETCB,10809.0,0.026888059701492537
AK,1979,403000,RETCB,10733.0,0.02663275434243176
AK,1980,401851,RETCB,8321.0,0.02070667983904482
AK,1981,418491,RETCB,9216.0,0.022021978967289618
AK,1982,449606,RETCB,8745.0,0.019450363206896706
AK,1983,488417,RETCB,9591.0,0.019636908625211655
AK,1984,513702,RETCB,11152.0,0.021709084255073955
AK,1985,532495,RETCB,11783.0,0.022127907304293936
AK,1986,544268,RETCB,10707.0,0.01967229379643852
AK,1987,539309,RETCB,12004.0,0.022258111768948784
AK,1988,541983,RETCB,12761.0,0.02354501893970844
AK,1989,547159,RETCB,18342.0,0.03352224856029052
AK,1990,553290,RETCB,18357.0,0.033177899474055195
AK,1991,570193,RETCB,17357.0,0.030440570122747913
AK,1992,588736,RETCB,18300.0,0.031083541689314056
AK,1993,599432,RETCB,20551.0,0.03428412230244632
AK,1994,603308,RETCB,23590.0,0.03910108932750767
AK,1995,604412,RETCB,23142.0,0.03828845224780448
AK,1996,608569,RETCB,21915.0,0.036010707084981324
AK,1997,612968,RETCB,15583.0,0.025422208010858642
AK,1998,619932,RETCB,13638.0,0.021999187007607286
AK,1999,624779,RETCB,10605.0,0.016974002007109714
AK,2000,627963,RETCB,12375.0,0.019706575068913296
AK,2001,633714,RETCB,17439.0,0.027518722957043714
AK,2002,642337,RETCB,18257.0,0.028422774960807178
AK,2003,648414,RETCB,19598.0,0.03022451705237703
AK,2004,659286,RETCB,18857.0,0.0286021544519374
AK,2005,666946,RETCB,16659.0,0.02497803420366866
AK,2006,675302,RETCB,14095.0,0.020872143130036637
AK,2007,680300,RETCB,15011.0,0.022065265324121713
AK,2008,687455,RETCB,14629.0,0.021279938323235704
AK,2009,698895,RETCB,17639.0,0.02523841206475937
AK,2010,714031,RETCB,18439.0,0.025823808770207457
AK,2011,722713,RETCB,17650.0,0.02442186594125192
AK,2012,731089,RETCB,19565.0,0.026761447648644694
AK,2013,736879,RETCB,20439.0,0.027737254013209766
AK,2014,736705,RETCB,21845.0,0.029652303160695257
AK,2015,737709,RETCB,21658.0,0.02935845977207815
AL,1970,741894,RETCB,132471.0,0.17855785327823112
AL,1971,3444354,RETCB,158182.0,0.04592501235355018
AL,1972,3497000,RETCB,164946.0,0.047167858164140694
AL,1973,3540000,RETCB,181706.0,0.051329378531073444
AL,1974,3581000,RETCB,166734.0,0.04656073722423904
AL,1975,3628000,RETCB,184701.0,0.05090986769570011
AL,1976,3680000,RETCB,160994.0,0.04374836956521739
AL,1977,3737000,RETCB,174751.0,0.04676237623762376
AL,1978,3783000,RETCB,148341.0,0.039212529738302936
AL,1979,3834000,RETCB,190737.0,0.04974882629107981
AL,1980,3869000,RETCB,238766.0,0.06171258723184286
AL,1981,3893888,RETCB,213355.0,0.05479227959304428
AL,1982,3918531,RETCB,265548.0,0.06776723215919435
AL,1983,3925266,RETCB,282179.0,0.07188786696239184
AL,1984,3934102,RETCB,288127.0,0.07323831461411016
AL,1985,3951820,RETCB,248632.0,0.06291582106472461
AL,1986,3972523,RETCB,215783.0,0.05431887996620787
AL,1987,3991569,RETCB,233511.0,0.058501055599940774
AL,1988,4015264,RETCB,216597.0,0.05394340197805175
AL,1989,4023844,RETCB,304351.0,0.07563687856686294
AL,1990,4030222,RETCB,253287.0,0.06284691017020899
AL,1991,4050055,RETCB,257202.0,0.0635058042421646
AL,1992,4099156,RETCB,257599.0,0.0628419606377508
AL,1993,4154014,RETCB,269514.0,0.06488037835211918
AL,1994,4214202,RETCB,334002.0,0.07925628624351656
AL,1995,4260229,RETCB,322116.0,0.07561002002474515
AL,1996,4296800,RETCB,323721.0,0.07534002048035747
AL,1997,4331102,RETCB,300020.0,0.06927105387959
AL,1998,4367935,RETCB,317349.0,0.07265424050495257
AL,1999,4404701,RETCB,290232.0,0.0658914191905421
AL,2000,4430141,RETCB,263303.0,0.05943445140910865
AL,2001,4452173,RETCB,252817.0,0.056785080004752735
AL,2002,4467634,RETCB,253570.0,0.05675711125844239
AL,2003,4480089,RETCB,284700.0,0.06354784469683526
AL,2004,4503491,RETCB,293216.0,0.06510860130507644
AL,2005,4530729,RETCB,279765.0,0.061748341160991975
AL,2006,4569805,RETCB,266305.0,0.058274915450440445
AL,2007,4628981,RETCB,228635.0,0.04939208002798024
AL,2008,4672840,RETCB,237119.0,0.0507440871076262
AL,2009,4718206,RETCB,273619.0,0.057992169057476506
AL,2010,4757938,RETCB,254212.0,0.053429027448445104
