StateYear,State,Year,Population,Alignment,Outcome
Alabama1980,Alabama,1980,3893888.0,0.168004832188291,R
Alabama1981,Alabama,1981,3918531.0,0.168004832188291,R
Alabama1982,Alabama,1982,3925266.0,0.168004832188291,R
Alabama1983,Alabama,1983,3934102.0,0.168004832188291,R
Alabama1984,Alabama,1984,3951820.0,0.22087266120420465,R
Alabama1985,Alabama,1985,3972523.0,0.22087266120420465,R
Alabama1986,Alabama,1986,3991569.0,0.22087266120420465,R
Alabama1987,Alabama,1987,4015264.0,0.22087266120420465,R
Alabama1988,Alabama,1988,4023844.0,0.20268579000577558,R
Alabama1989,Alabama,1989,4030222.0,0.20268579000577558,R
Alabama1990,Alabama,1990,4050055.0,0.20268579000577558,R
Alabama1991,Alabama,1991,4099156.0,0.20268579000577558,R
Alabama1992,Alabama,1992,4154014.0,0.19361586167018213,R
Alabama1993,Alabama,1993,4214202.0,0.19361586167018213,R
Alabama1994,Alabama,1994,4260229.0,0.19361586167018213,R
Alabama1995,Alabama,1995,4296800.0,0.19361586167018213,R
Alabama1996,Alabama,1996,4331102.0,0.17294536124986204,R
Alabama1997,Alabama,1997,4367935.0,0.17294536124986204,R
Alabama1998,Alabama,1998,4404701.0,0.17294536124986204,R
Alabama1999,Alabama,1999,4430141.0,0.17294536124986204,R
Alabama2000,Alabama,2000,4452173.0,0.21139632264963648,R
Alabama2001,Alabama,2001,4467634.0,0.21139632264963648,R
Alabama2002,Alabama,2002,4480089.0,0.21139632264963648,R
Alabama2003,Alabama,2003,4503491.0,0.21139632264963648,R
Alabama2004,Alabama,2004,4530729.0,-0.25964784033651095,D
Alabama2005,Alabama,2005,4569805.0,-0.25964784033651095,D
Alabama2006,Alabama,2006,4628981.0,-0.25964784033651095,D
Alabama2007,Alabama,2007,4672840.0,-0.25964784033651095,D
Alabama2008,Alabama,2008,4718206.0,-0.2684380461556787,D
Alabama2009,Alabama,2009,4757938.0,-0.2684380461556787,D
Alabama2010,Alabama,2010,4785492.0,-0.2684380461556787,D
Alabama2011,Alabama,2011,4799918.0,-0.2684380461556787,D
Alabama2012,Alabama,2012,4815960.0,0.2607839350825173,R
Alabama2013,Alabama,2013,4829479.0,0.2607839350825173,R
Alabama2014,Alabama,2014,4843214.0,0.2607839350825173,R
Alabama2015,Alabama,2015,4853875.0,0.2607839350825173,R
Alabama2016,Alabama,2016,4863300.0,0.2710618304443485,R
Alaska1980,Alaska,1980,401851.0,0.21428838051914764,R
Alaska1981,Alaska,1981,418491.0,0.21428838051914764,R
Alaska1982,Alaska,1982,449606.0,0.21428838051914764,R
