,State,Year,Population
0,Alabama,1970,3444354.0
1,Alabama,1971,3497000.0
2,Alabama,1972,3540000.0
3,Alabama,1973,3581000.0
4,Alabama,1974,3628000.0
5,Alabama,1975,3680000.0
6,Alabama,1976,3737000.0
7,Alabama,1977,3783000.0
8,Alabama,1978,3834000.0
9,Alabama,1979,3869000.0
10,Alabama,1980,3893888.0
11,Alabama,1981,3918531.0
12,Alabama,1982,3925266.0
13,Alabama,1983,3934102.0
14,Alabama,1984,3951820.0
15,Alabama,1985,3972523.0
16,Alabama,1986,3991569.0
17,Alabama,1987,4015264.0
18,Alabama,1988,4023844.0
19,Alabama,1989,4030222.0
20,Alabama,1990,4050055.0
21,Alabama,1991,4099156.0
22,Alabama,1992,4154014.0
23,Alabama,1993,4214202.0
24,Alabama,1994,4260229.0
25,Alabama,1995,4296800.0
26,Alabama,1996,4331102.0
27,Alabama,1997,4367935.0
28,Alabama,1998,4404701.0
29,Alabama,1999,4430141.0
30,Alabama,2000,4452173.0
31,Alabama,2001,4467634.0
32,Alabama,2002,4480089.0
33,Alabama,2003,4503491.0
34,Alabama,2004,4530729.0
35,Alabama,2005,4569805.0
36,Alabama,2006,4628981.0
37,Alabama,2007,4672840.0
38,Alabama,2008,4718206.0
39,Alabama,2009,4757938.0
40,Alabama,2010,4785492.0
41,Alabama,2011,4799918.0
42,Alabama,2012,4815960.0
43,Alabama,2013,4829479.0
44,Alabama,2014,4843214.0
45,Alabama,2015,4853875.0
46,Alabama,2016,4863300.0
47,Alaska,1970,302583.0
48,Alaska,1971,316000.0
49,Alaska,1972,326000.0
50,Alaska,1973,333000.0
51,Alaska,1974,345000.0
52,Alaska,1975,371000.0
53,Alaska,1976,393000.0
54,Alaska,1977,397000.0
55,Alaska,1978,402000.0
56,Alaska,1979,403000.0
57,Alaska,1980,401851.0
58,Alaska,1981,418491.0
59,Alaska,1982,449606.0
60,Alaska,1983,488417.0
61,Alaska,1984,513702.0
62,Alaska,1985,532495.0
63,Alaska,1986,544268.0
64,Alaska,1987,539309.0
65,Alaska,1988,541983.0
66,Alaska,1989,547159.0
67,Alaska,1990,553290.0
68,Alaska,1991,570193.0
69,Alaska,1992,588736.0
70,Alaska,1993,599432.0
71,Alaska,1994,603308.0
72,Alaska,1995,604412.0
73,Alaska,1996,608569.0
74,Alaska,1997,612968.0
75,Alaska,1998,619932.0
76,Alaska,1999,624779.0
77,Alaska,2000,627963.0
78,Alaska,2001,633714.0
79,Alaska,2002,642337.0
80,Alaska,2003,648414.0
81,Alaska,2004,659286.0
82,Alaska,2005,666946.0
83,Alaska,2006,675302.0
84,Alaska,2007,680300.0
85,Alaska,2008,687455.0
86,Alaska,2009,698895.0
87,Alaska,2010,714031.0
88,Alaska,2011,722713.0
89,Alaska,2012,731089.0
90,Alaska,2013,736879.0
91,Alaska,2014,736705.0
92,Alaska,2015,737709.0
93,Alaska,2016,741894.0
94,Arizona,1970,1775399.0
95,Arizona,1971,1896000.0
96,Arizona,1972,2009000.0
97,Arizona,1973,2125000.0
98,Arizona,1974,2224000.0
99,Arizona,1975,2286000.0
100,Arizona,1976,2348000.0
101,Arizona,1977,2427000.0
102,Arizona,1978,2518000.0
103,Arizona,1979,2639000.0
104,Arizona,1980,2718215.0
105,Arizona,1981,2810107.0
106,Arizona,1982,2889861.0
107,Arizona,1983,2968925.0
108,Arizona,1984,3067135.0
109,Arizona,1985,3183538.0
110,Arizona,1986,3308262.0
111,Arizona,1987,3437103.0
112,Arizona,1988,3535183.0
113,Arizona,1989,3622185.0
114,Arizona,1990,3684097.0
115,Arizona,1991,3788576.0
116,Arizona,1992,3915740.0
117,Arizona,1993,4065440.0
118,Arizona,1994,4245089.0
119,Arizona,1995,4432499.0
120,Arizona,1996,4586940.0
121,Arizona,1997,4736990.0
122,Arizona,1998,4883342.0
123,Arizona,1999,5023823.0
124,Arizona,2000,5160586.0
125,Arizona,2001,5273477.0
126,Arizona,2002,5396255.0
127,Arizona,2003,5510364.0
128,Arizona,2004,5652404.0
129,Arizona,2005,5839077.0
130,Arizona,2006,6029141.0
131,Arizona,2007,6167681.0
132,Arizona,2008,6280362.0
133,Arizona,2009,6343154.0
134,Arizona,2010,6408312.0
135,Arizona,2011,6467163.0
136,Arizona,2012,6549634.0
137,Arizona,2013,6624617.0
138,Arizona,2014,6719993.0
139,Arizona,2015,6817565.0
140,Arizona,2016,6931071.0
141,Arkansas,1970,1923322.0
142,Arkansas,1971,1972000.0
143,Arkansas,1972,2018000.0
144,Arkansas,1973,2058000.0
145,Arkansas,1974,2100000.0
146,Arkansas,1975,2158000.0
147,Arkansas,1976,2169000.0
148,Arkansas,1977,2207000.0
149,Arkansas,1978,2241000.0
150,Arkansas,1979,2269000.0
151,Arkansas,1980,2286435.0
152,Arkansas,1981,2293201.0
153,Arkansas,1982,2294257.0
154,Arkansas,1983,2305761.0
155,Arkansas,1984,2319768.0
156,Arkansas,1985,2327046.0
157,Arkansas,1986,2331984.0
158,Arkansas,1987,2342355.0
159,Arkansas,1988,2342656.0
160,Arkansas,1989,2346358.0
161,Arkansas,1990,2356586.0
162,Arkansas,1991,2383144.0
163,Arkansas,1992,2415984.0
164,Arkansas,1993,2456303.0
165,Arkansas,1994,2494019.0
166,Arkansas,1995,2535399.0
167,Arkansas,1996,2572109.0
168,Arkansas,1997,2601090.0
169,Arkansas,1998,2626289.0
170,Arkansas,1999,2651860.0
171,Arkansas,2000,2678588.0
172,Arkansas,2001,2691571.0
173,Arkansas,2002,2705927.0
174,Arkansas,2003,2724816.0
175,Arkansas,2004,2749686.0
176,Arkansas,2005,2781097.0
177,Arkansas,2006,2821761.0
178,Arkansas,2007,2848650.0
179,Arkansas,2008,2874554.0
180,Arkansas,2009,2896843.0
181,Arkansas,2010,2921995.0
182,Arkansas,2011,2939493.0
183,Arkansas,2012,2950685.0
184,Arkansas,2013,2958663.0
185,Arkansas,2014,2966912.0
186,Arkansas,2015,2977853.0
187,Arkansas,2016,2988248.0
188,California,1970,19971071.0
189,California,1971,20346000.0
190,California,1972,20585000.0
191,California,1973,20868000.0
192,California,1974,21173000.0
193,California,1975,21537000.0
194,California,1976,21934000.0
195,California,1977,22350000.0
196,California,1978,22839000.0
197,California,1979,23255000.0
198,California,1980,23667902.0
199,California,1981,24285933.0
200,California,1982,24820009.0
201,California,1983,25360026.0
202,California,1984,25844393.0
203,California,1985,26441109.0
204,California,1986,27102237.0
205,California,1987,27777158.0
206,California,1988,28464249.0
207,California,1989,29218164.0
208,California,1990,29959515.0
209,California,1991,30470736.0
210,California,1992,30974659.0
211,California,1993,31274928.0
212,California,1994,31484435.0
213,California,1995,31696582.0
214,California,1996,32018834.0
215,California,1997,32486010.0
216,California,1998,32987675.0
217,California,1999,33499204.0
218,California,2000,33987977.0
219,California,2001,34479458.0
220,California,2002,34871843.0
221,California,2003,35253159.0
222,California,2004,35574576.0
223,California,2005,35827943.0
224,California,2006,36021202.0
225,California,2007,36250311.0
226,California,2008,36604337.0
227,California,2009,36961229.0
228,California,2010,37332685.0
229,California,2011,37676861.0
230,California,2012,38011074.0
231,California,2013,38335203.0
232,California,2014,38680810.0
233,California,2015,38993940.0
234,California,2016,39250017.0
235,Colorado,1970,2209596.0
236,Colorado,1971,2303000.0
237,Colorado,1972,2405000.0
238,Colorado,1973,2496000.0
239,Colorado,1974,2541000.0
240,Colorado,1975,2586000.0
241,Colorado,1976,2632000.0
242,Colorado,1977,2696000.0
243,Colorado,1978,2767000.0
244,Colorado,1979,2849000.0
245,Colorado,1980,2889964.0
246,Colorado,1981,2977898.0
247,Colorado,1982,3061564.0
248,Colorado,1983,3133630.0
249,Colorado,1984,3169992.0
250,Colorado,1985,3208723.0
251,Colorado,1986,3237450.0
252,Colorado,1987,3260480.0
253,Colorado,1988,3262281.0
254,Colorado,1989,3275818.0
255,Colorado,1990,3307618.0
256,Colorado,1991,3387119.0
257,Colorado,1992,3495939.0
258,Colorado,1993,3613734.0
259,Colorado,1994,3724168.0
260,Colorado,1995,3826653.0
261,Colorado,1996,3919972.0
262,Colorado,1997,4018293.0
263,Colorado,1998,4116639.0
264,Colorado,1999,4226018.0
265,Colorado,2000,4326921.0
266,Colorado,2001,4425687.0
267,Colorado,2002,4490406.0
268,Colorado,2003,4528732.0
269,Colorado,2004,4575013.0
270,Colorado,2005,4631888.0
271,Colorado,2006,4720423.0
272,Colorado,2007,4803868.0
273,Colorado,2008,4889730.0
274,Colorado,2009,4972195.0
275,Colorado,2010,5048644.0
276,Colorado,2011,5118360.0
277,Colorado,2012,5189867.0
278,Colorado,2013,5267603.0
279,Colorado,2014,5349648.0
280,Colorado,2015,5448819.0
281,Colorado,2016,5540545.0
282,Connecticut,1970,3032217.0
283,Connecticut,1971,3061000.0
284,Connecticut,1972,3070000.0
285,Connecticut,1973,3069000.0
286,Connecticut,1974,3076000.0
287,Connecticut,1975,3085000.0
288,Connecticut,1976,3086000.0
289,Connecticut,1977,3089000.0
290,Connecticut,1978,3095000.0
291,Connecticut,1979,3100000.0
292,Connecticut,1980,3107576.0
293,Connecticut,1981,3128836.0
294,Connecticut,1982,3139013.0
295,Connecticut,1983,3162354.0
296,Connecticut,1984,3180014.0
297,Connecticut,1985,3201131.0
298,Connecticut,1986,3223740.0
299,Connecticut,1987,3247291.0
300,Connecticut,1988,3271953.0
301,Connecticut,1989,3283403.0
302,Connecticut,1990,3291967.0
303,Connecticut,1991,3302895.0
304,Connecticut,1992,3300712.0
305,Connecticut,1993,3309175.0
306,Connecticut,1994,3316121.0
307,Connecticut,1995,3324144.0
308,Connecticut,1996,3336685.0
309,Connecticut,1997,3349348.0
310,Connecticut,1998,3365352.0
311,Connecticut,1999,3386401.0
312,Connecticut,2000,3411777.0
313,Connecticut,2001,3432835.0
314,Connecticut,2002,3458749.0
315,Connecticut,2003,3484336.0
316,Connecticut,2004,3496094.0
317,Connecticut,2005,3506956.0
318,Connecticut,2006,3517460.0
319,Connecticut,2007,3527270.0
320,Connecticut,2008,3545579.0
321,Connecticut,2009,3561807.0
322,Connecticut,2010,3579899.0
323,Connecticut,2011,3589893.0
324,Connecticut,2012,3593795.0
325,Connecticut,2013,3596003.0
326,Connecticut,2014,3591873.0
327,Connecticut,2015,3584730.0
328,Connecticut,2016,3576452.0
329,Delaware,1970,548104.0
330,Delaware,1971,565000.0
331,Delaware,1972,574000.0
332,Delaware,1973,579000.0
333,Delaware,1974,583000.0
334,Delaware,1975,589000.0
335,Delaware,1976,593000.0
336,Delaware,1977,595000.0
337,Delaware,1978,598000.0
338,Delaware,1979,599000.0
339,Delaware,1980,594338.0
340,Delaware,1981,595975.0
341,Delaware,1982,599148.0
342,Delaware,1983,605458.0
343,Delaware,1984,611565.0
344,Delaware,1985,618280.0
345,Delaware,1986,627559.0
346,Delaware,1987,636947.0
347,Delaware,1988,647622.0
348,Delaware,1989,658273.0
349,Delaware,1990,669567.0
350,Delaware,1991,683080.0
351,Delaware,1992,694925.0
352,Delaware,1993,706378.0
353,Delaware,1994,717545.0
354,Delaware,1995,729734.0
355,Delaware,1996,740977.0
356,Delaware,1997,751487.0
357,Delaware,1998,763335.0
358,Delaware,1999,774990.0
359,Delaware,2000,786373.0
360,Delaware,2001,795699.0
361,Delaware,2002,806169.0
362,Delaware,2003,818003.0
363,Delaware,2004,830803.0
364,Delaware,2005,845150.0
365,Delaware,2006,859268.0
366,Delaware,2007,871749.0
367,Delaware,2008,883874.0
368,Delaware,2009,891730.0
369,Delaware,2010,899816.0
370,Delaware,2011,907924.0
371,Delaware,2012,916993.0
372,Delaware,2013,925395.0
373,Delaware,2014,934948.0
374,Delaware,2015,944076.0
375,Delaware,2016,952065.0
376,Florida,1970,6791418.0
377,Florida,1971,7163000.0
378,Florida,1972,7520000.0
379,Florida,1973,7927000.0
380,Florida,1974,8317000.0
381,Florida,1975,8542000.0
382,Florida,1976,8695000.0
383,Florida,1977,8889000.0
384,Florida,1978,9132000.0
385,Florida,1979,9471000.0
386,Florida,1980,9746324.0
387,Florida,1981,10192774.0
388,Florida,1982,10471407.0
389,Florida,1983,10749851.0
390,Florida,1984,11039925.0
391,Florida,1985,11351118.0
392,Florida,1986,11667505.0
393,Florida,1987,11997283.0
394,Florida,1988,12306395.0
395,Florida,1989,12637715.0
396,Florida,1990,13033307.0
397,Florida,1991,13369798.0
398,Florida,1992,13650553.0
399,Florida,1993,13927185.0
400,Florida,1994,14239444.0
401,Florida,1995,14537875.0
402,Florida,1996,14853360.0
403,Florida,1997,15186304.0
404,Florida,1998,15486559.0
405,Florida,1999,15759421.0
406,Florida,2000,16047515.0
407,Florida,2001,16356966.0
408,Florida,2002,16689370.0
409,Florida,2003,17004085.0
410,Florida,2004,17415318.0
411,Florida,2005,17842038.0
412,Florida,2006,18166990.0
413,Florida,2007,18367842.0
414,Florida,2008,18527305.0
415,Florida,2009,18652644.0
416,Florida,2010,18849098.0
417,Florida,2011,19096952.0
418,Florida,2012,19344156.0
419,Florida,2013,19582022.0
420,Florida,2014,19888741.0
421,Florida,2015,20244914.0
422,Florida,2016,20612439.0
423,Georgia,1970,4587930.0
424,Georgia,1971,4710000.0
425,Georgia,1972,4807000.0
426,Georgia,1973,4907000.0
427,Georgia,1974,4995000.0
428,Georgia,1975,5058000.0
429,Georgia,1976,5126000.0
430,Georgia,1977,5212000.0
431,Georgia,1978,5286000.0
432,Georgia,1979,5391000.0
433,Georgia,1980,5463105.0
434,Georgia,1981,5568345.0
435,Georgia,1982,5649792.0
436,Georgia,1983,5728250.0
437,Georgia,1984,5834954.0
438,Georgia,1985,5962661.0
439,Georgia,1986,6084666.0
440,Georgia,1987,6208467.0
441,Georgia,1988,6316142.0
442,Georgia,1989,6411099.0
443,Georgia,1990,6512602.0
444,Georgia,1991,6653005.0
445,Georgia,1992,6817203.0
446,Georgia,1993,6978240.0
447,Georgia,1994,7157165.0
448,Georgia,1995,7328413.0
449,Georgia,1996,7501069.0
450,Georgia,1997,7685099.0
451,Georgia,1998,7863536.0
452,Georgia,1999,8045965.0
453,Georgia,2000,8227303.0
454,Georgia,2001,8377038.0
455,Georgia,2002,8508256.0
456,Georgia,2003,8622793.0
457,Georgia,2004,8769252.0
458,Georgia,2005,8925922.0
459,Georgia,2006,9155813.0
460,Georgia,2007,9349988.0
461,Georgia,2008,9504843.0
462,Georgia,2009,9620846.0
463,Georgia,2010,9713521.0
464,Georgia,2011,9811610.0
465,Georgia,2012,9914668.0
466,Georgia,2013,9984938.0
467,Georgia,2014,10087231.0
468,Georgia,2015,10199398.0
469,Georgia,2016,10310371.0
470,Hawaii,1970,769913.0
471,Hawaii,1971,801000.0
472,Hawaii,1972,828000.0
473,Hawaii,1973,851000.0
474,Hawaii,1974,867000.0
475,Hawaii,1975,884000.0
476,Hawaii,1976,902000.0
477,Hawaii,1977,916000.0
478,Hawaii,1978,929000.0
479,Hawaii,1979,950000.0
480,Hawaii,1980,964691.0
481,Hawaii,1981,978195.0
482,Hawaii,1982,993780.0
483,Hawaii,1983,1012717.0
484,Hawaii,1984,1027922.0
485,Hawaii,1985,1039698.0
486,Hawaii,1986,1051762.0
487,Hawaii,1987,1067918.0
